symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20210923,67.0,21,23,2,3.229999999999997,2237.6638999999996
TCB,20210923,50.2,10,10,-2,1.0,414.8000000000019
HPG,20210923,51.0,6,6,0,0.6400000000000006,3959.111999999996
GVR,20210923,37.2,0,0,0,-0.7999999999999972,499.4132000000014
ACB,20210923,31.6,0,0,0,-0.3200000000000003,6961.14910000002
MBB,20210923,27.9,0,0,0,-0.1700000000000017,1194.3269999999989
BSR,20210923,18.6,2,8,0,0.3000000000000007,275.1999999999989
STB,20210923,26.6,0,0,0,-0.5199999999999996,7807.019800000003
SHB,20210923,26.8,0,1,1,0.07000000000000028,2738.9255999999996
TPB,20210923,41.55,36,51,15,4.369999999999997,193.8534999999997
SSI,20210923,41.9,0,0,0,-0.6400000000000006,6730.623099999992
POW,20210923,11.75,0,0,0,-0.09999999999999964,150.68579999999906
HSG,20210923,46.5,25,33,-2,3.200000000000003,7163.299399999999
OIL,20210923,13.7,3,16,-12,0.4599999999999991,-204.20000000000113
DXG,20210923,19.8,0,0,0,-0.00999999999999801,2364.9113999999954
SBT,20210923,22.2,-9,6,-9,0.2699999999999996,1651.083000000005
HCM,20210923,55.1,0,9,9,1.009999999999998,6721.162999999998
IDC,20210923,50.6,63,69,-9,7.210000000000001,-1017.0683999999997
DCM,20210923,24.7,0,0,0,-0.08999999999999986,852.0422000000013
PVI,20210923,50.5,0,62,23,6.420000000000002,418.0078999999987
DPM,20210923,34.85,0,0,0,-0.7899999999999991,2202.391199999992
ITA,20210923,7.94,40,48,-11,0.7800000000000002,10687.5416
IJC,20210923,29.65,13,26,12,1.5799999999999983,4984.299099999997
SCR,20210923,13.1,38,54,-5,1.4699999999999989,2189.8678000000073
HBC,20210923,15.55,-11,13,-13,0.41000000000000014,6827.289800000002
CEO,20210923,10.7,21,32,-15,0.6999999999999993,-686.5947000000002
FRT,20210923,45.55,21,27,-3,2.519999999999996,783.5696000000027
PET,20210923,27.0,-7,0,-7,-0.39000000000000057,3800.7969999999937
CKG,20210923,24.55,16,16,-11,0.8100000000000023,350.3235000000002
PVC,20210923,11.2,24,42,-17,0.9799999999999986,12440.117299999985
