symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20210921,66.9,6,28,-11,3.730000000000004,2236.2639
TCB,20210921,50.4,-5,14,-5,1.3500000000000014,417.00000000000193
HPG,20210921,50.8,4,8,-7,0.769999999999996,3957.711999999996
GVR,20210921,36.4,-1,0,0,-1.3000000000000043,499.4132000000014
ACB,20210921,31.8,-1,0,-1,-0.16999999999999815,6961.14910000002
MBB,20210921,28.0,0,0,0,-0.14000000000000057,1194.3269999999989
BSR,20210921,18.4,2,6,4,0.22999999999999687,273.9999999999989
STB,20210921,26.8,0,0,0,-0.370000000000001,7807.019800000003
SHB,20210921,26.5,-3,0,-3,-0.28999999999999915,2738.9255999999996
TPB,20210921,40.0,22,45,-11,3.509999999999998,137.1534999999999
SSI,20210921,42.1,-4,0,-2,-0.5300000000000011,6730.623099999992
POW,20210921,11.65,0,0,-3,-0.07000000000000028,150.68579999999906
HSG,20210921,46.7,39,47,8,4.300000000000004,7171.499399999999
OIL,20210921,13.6,15,20,5,0.5199999999999996,-203.00000000000108
DXG,20210921,19.05,0,0,0,-0.9100000000000001,2364.9113999999954
SBT,20210921,21.5,0,0,0,-0.26000000000000156,1657.833000000005
HCM,20210921,52.9,0,0,0,-1.3000000000000043,6721.162999999998
IDC,20210921,48.6,51,72,0,6.810000000000002,-1152.668399999999
DCM,20210921,24.7,-3,0,-2,-0.03999999999999915,852.0422000000013
PVI,20210921,43.7,0,5,5,0.47000000000000597,299.0078999999987
DPM,20210921,35.15,0,0,0,-0.6400000000000006,2202.391199999992
ITA,20210921,7.9,14,58,7,0.9000000000000004,10685.481600000001
IJC,20210921,28.5,-2,14,1,0.8000000000000007,4968.199099999998
SCR,20210921,13.35,20,77,16,2.0199999999999996,2205.5178000000074
HBC,20210921,15.0,-4,2,-10,0.0600000000000005,6836.989800000003
CEO,20210921,10.5,28,36,-20,0.7400000000000002,-689.3947000000003
FRT,20210921,46.45,31,45,6,4.130000000000003,818.8196000000028
PET,20210921,27.0,0,0,-11,-0.05999999999999872,3805.6969999999937
CKG,20210921,25.15,28,37,-4,1.8200000000000003,367.0235000000001
PVC,20210921,10.9,40,44,3,0.9500000000000011,12434.417299999986
