symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20210920,67.5,9,39,10,4.549999999999997,2259.6638999999996
TCB,20210920,50.7,0,19,14,1.6400000000000006,422.700000000002
HPG,20210920,51.3,11,15,-2,1.3599999999999994,3965.211999999996
GVR,20210920,37.4,-1,0,-9,-0.30000000000000426,499.4132000000014
ACB,20210920,32.1,0,1,1,0.03999999999999915,6961.44910000002
MBB,20210920,28.25,0,0,0,0.019999999999999574,1194.3269999999989
BSR,20210920,18.2,2,2,-18,0.05999999999999872,273.5999999999989
STB,20210920,27.1,0,0,0,-0.13999999999999702,7807.019800000003
SHB,20210920,27.0,0,3,3,0.120000000000001,2740.4255999999996
TPB,20210920,40.1,29,56,3,3.8599999999999994,142.7534999999998
SSI,20210920,42.8,-2,2,-2,0.14000000000000057,6732.023099999992
POW,20210920,11.75,3,3,0,0.0600000000000005,150.98579999999907
HSG,20210920,45.0,39,39,-12,3.0,7105.1993999999995
OIL,20210920,13.4,15,15,-3,0.34999999999999964,-206.00000000000108
DXG,20210920,19.2,0,0,0,-0.9100000000000001,2364.9113999999954
SBT,20210920,21.65,0,0,0,-0.120000000000001,1657.833000000005
HCM,20210920,54.1,0,0,0,-0.29999999999999716,6721.162999999998
IDC,20210920,47.1,40,72,21,5.829999999999998,-1260.668399999999
DCM,20210920,24.75,-1,2,-6,0.07000000000000028,852.1422000000014
PVI,20210920,42.0,0,0,0,-1.1400000000000006,299.0078999999987
DPM,20210920,35.5,0,0,0,-0.3400000000000034,2202.391199999992
ITA,20210920,7.61,14,51,37,0.6699999999999999,10670.6916
IJC,20210920,28.3,-8,13,-8,0.629999999999999,4965.599099999998
SCR,20210920,12.5,16,61,15,1.3100000000000005,2153.6678000000074
HBC,20210920,15.25,6,12,3,0.3200000000000003,6839.989800000003
CEO,20210920,10.7,43,56,-2,1.0199999999999996,-678.1947000000004
FRT,20210920,45.0,31,39,-11,3.009999999999998,762.2696000000028
PET,20210920,27.5,11,11,-10,0.5100000000000016,3811.1969999999937
CKG,20210920,24.9,32,41,0,1.759999999999998,356.7735000000001
PVC,20210920,10.6,40,41,-10,0.75,12422.117299999987
