symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20211115,36.15,0,0,0,-1.3700000000000045,2196.8138999999996
TCB,20211115,52.0,-1,0,-1,-0.18999999999999773,383.20000000000186
HPG,20211115,53.6,0,0,0,-2.539999999999999,4015.4119999999953
GVR,20211115,40.5,0,4,-6,0.7000000000000028,474.96320000000117
ACB,20211115,33.4,3,6,0,0.740000000000002,6951.549100000019
MBB,20211115,28.6,0,2,0,0.22000000000000242,1176.0769999999993
BSR,20211115,24.1,0,0,-5,-0.09999999999999787,362.5999999999991
STB,20211115,27.95,6,9,-1,0.9399999999999977,7797.519800000003
SHB,20211115,23.7,0,0,0,-4.109999999999999,2669.775599999999
TPB,20211115,43.95,0,2,2,0.3400000000000034,161.85350000000034
SSI,20211115,45.8,14,22,6,3.8900000000000006,6784.673099999991
POW,20211115,13.85,6,21,15,1.1399999999999988,149.58579999999904
HSG,20211115,43.7,0,0,0,-2.9099999999999966,7105.4493999999995
OIL,20211115,17.3,14,14,-2,0.9400000000000013,-175.20000000000087
DXG,20211115,27.0,24,28,-1,2.9200000000000017,2504.2113999999956
SBT,20211115,26.1,28,31,-1,3.16,1723.833000000005
HCM,20211115,45.6,22,28,5,5.090000000000003,6799.012999999998
IDC,20211115,82.0,16,16,-21,5.219999999999999,779.4315999999999
DCM,20211115,38.8,22,28,2,4.329999999999998,1143.2922000000015
PVI,20211115,49.1,0,0,0,-1.6700000000000017,-70.49210000000107
DPM,20211115,52.6,18,18,-2,3.6799999999999997,2623.0411999999915
ITA,20211115,11.35,27,55,4,2.469999999999999,10751.7216
IJC,20211115,35.0,5,9,-8,1.2899999999999991,5026.699099999998
SCR,20211115,18.6,33,48,10,3.490000000000002,2270.617800000008
HBC,20211115,23.5,40,40,-4,3.6999999999999993,7109.139800000005
CEO,20211115,21.8,59,97,10,8.31,-150.29469999999992
FRT,20211115,59.2,14,29,1,6.810000000000002,968.5696000000031
PET,20211115,31.95,5,7,2,0.8599999999999994,3815.3469999999943
CKG,20211115,31.2,11,36,14,4.379999999999999,372.37350000000015
PVC,20211115,14.1,12,18,6,1.0099999999999998,12441.617299999989
