symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20211117,36.15,0,0,0,-1.1400000000000006,2196.8138999999996
TCB,20211117,52.2,0,1,1,0.10000000000000142,383.20000000000186
HPG,20211117,51.4,0,0,0,-4.210000000000001,4015.4119999999953
GVR,20211117,40.0,0,0,0,-0.020000000000003126,470.36320000000114
ACB,20211117,33.3,4,4,0,0.5499999999999972,6950.64910000002
MBB,20211117,28.7,2,2,0,0.2699999999999996,1176.2769999999994
BSR,20211117,24.4,0,1,1,0.129999999999999,362.5999999999991
STB,20211117,28.0,8,8,-1,0.8099999999999987,7797.969800000003
SHB,20211117,23.65,0,0,0,-3.700000000000003,2669.775599999999
TPB,20211117,43.25,-2,0,-1,-0.3100000000000023,160.90350000000035
SSI,20211117,45.85,10,20,4,3.469999999999999,6779.173099999992
POW,20211117,14.15,5,24,-1,1.2699999999999996,156.2857999999991
HSG,20211117,42.5,0,0,0,-3.460000000000001,7105.4493999999995
OIL,20211117,17.9,13,19,6,1.2999999999999972,-167.4000000000009
DXG,20211117,26.65,20,20,-1,2.049999999999997,2492.6613999999954
SBT,20211117,25.2,20,20,0,1.870000000000001,1692.633000000005
HCM,20211117,45.3,19,24,-1,4.149999999999999,6789.712999999998
IDC,20211117,81.3,8,8,-7,2.469999999999999,769.4315999999999
DCM,20211117,38.7,20,25,-6,3.6300000000000026,1138.9922000000017
PVI,20211117,50.0,0,0,0,-0.8699999999999974,-70.49210000000107
DPM,20211117,51.5,10,10,-7,1.8800000000000026,2604.2411999999913
ITA,20211117,11.4,39,51,8,2.200000000000001,10746.0716
IJC,20211117,33.75,0,0,0,-0.21999999999999886,5010.949099999998
SCR,20211117,18.0,25,35,-3,2.41,2239.817800000008
HBC,20211117,25.8,39,52,-1,5.039999999999999,7210.239800000006
CEO,20211117,26.2,87,114,2,11.29,311.0052999999998
FRT,20211117,60.8,23,31,7,7.109999999999999,1000.9696000000029
PET,20211117,34.6,5,24,8,3.200000000000003,3846.496999999994
CKG,20211117,32.6,18,41,-4,5.050000000000001,423.6735000000002
PVC,20211117,14.8,12,27,7,1.5,12455.41729999999
