symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20211116,36.15,0,0,0,-1.25,2196.8138999999996
TCB,20211116,52.0,-1,0,0,-0.14999999999999858,383.20000000000186
HPG,20211116,52.0,0,0,0,-3.8800000000000026,4015.4119999999953
GVR,20211116,39.35,0,0,-4,-0.5399999999999991,470.36320000000114
ACB,20211116,33.15,1,4,-2,0.44999999999999574,6950.04910000002
MBB,20211116,28.65,0,2,0,0.25,1176.1769999999992
BSR,20211116,24.2,0,0,0,-0.019999999999999574,362.5999999999991
STB,20211116,28.05,6,9,0,0.9499999999999993,7798.419800000002
SHB,20211116,23.6,0,0,0,-3.9899999999999984,2669.775599999999
TPB,20211116,43.7,-1,1,-1,0.10000000000000142,161.35350000000034
SSI,20211116,44.75,8,16,-6,2.6400000000000006,6761.573099999991
POW,20211116,14.05,6,25,4,1.2600000000000016,153.78579999999909
HSG,20211116,43.1,0,0,0,-3.1999999999999957,7105.4493999999995
OIL,20211116,17.3,13,13,-1,0.8399999999999999,-175.20000000000087
DXG,20211116,26.4,17,21,-7,2.0700000000000003,2487.4113999999954
SBT,20211116,24.9,17,20,-11,1.7799999999999976,1686.633000000005
HCM,20211116,45.0,19,25,-3,4.18,6782.212999999998
IDC,20211116,82.5,15,15,-1,4.670000000000002,787.4315999999999
DCM,20211116,39.2,22,31,3,4.390000000000001,1154.4922000000017
PVI,20211116,50.1,0,0,0,-0.6700000000000017,-70.49210000000107
DPM,20211116,52.5,17,17,-1,3.1700000000000017,2621.2411999999913
ITA,20211116,10.7,28,43,-12,1.67,10715.9716
IJC,20211116,33.25,0,0,-9,-0.6000000000000014,5010.949099999998
SCR,20211116,17.8,28,38,-10,2.460000000000001,2232.217800000008
HBC,20211116,25.1,40,53,13,4.830000000000002,7173.139800000005
CEO,20211116,23.9,74,112,15,9.759999999999998,53.4052999999999
FRT,20211116,58.0,9,24,-5,5.049999999999997,933.7696000000029
PET,20211116,33.2,5,16,9,1.9700000000000024,3824.0969999999943
CKG,20211116,32.5,18,45,9,5.329999999999998,419.1735000000001
PVC,20211116,14.2,12,20,2,1.0199999999999996,12443.41729999999
