symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20211012,36.7,0,0,0,-22.949999999999996,2202.6638999999996
TCB,20211012,53.0,2,16,0,2.9299999999999997,416.4000000000019
HPG,20211012,57.0,15,19,-1,3.75,4038.3119999999954
GVR,20211012,37.8,4,5,1,0.6099999999999994,498.2632000000013
ACB,20211012,32.6,0,9,1,0.9800000000000004,6960.149100000019
MBB,20211012,28.75,-1,8,-1,0.8500000000000014,1184.776999999999
BSR,20211012,22.7,16,36,10,2.849999999999998,343.9999999999989
STB,20211012,26.6,0,5,2,0.4400000000000013,7807.319800000003
SHB,20211012,30.2,13,27,-1,2.879999999999999,2755.8255999999988
TPB,20211012,42.7,7,10,-3,1.5,184.95350000000036
SSI,20211012,41.4,-2,2,-2,0.240000000000002,6728.623099999992
POW,20211012,12.7,8,13,5,0.5999999999999996,151.98579999999907
HSG,20211012,48.35,6,9,2,1.5300000000000011,7118.9994
OIL,20211012,15.3,12,18,4,0.9600000000000009,-193.100000000001
DXG,20211012,21.7,23,28,2,2.120000000000001,2398.211399999995
SBT,20211012,21.8,-5,5,-5,0.39000000000000057,1644.683000000005
HCM,20211012,38.5,0,0,0,-12.130000000000003,6704.562999999998
IDC,20211012,50.6,-1,0,-19,-0.18999999999999773,-912.1683999999997
DCM,20211012,29.05,25,27,-3,2.780000000000001,961.4922000000015
PVI,20211012,45.9,-5,0,-6,-0.20000000000000284,-16.39210000000105
DPM,20211012,38.3,11,16,5,2.2099999999999937,2230.0411999999915
ITA,20211012,7.53,2,2,-1,0.04999999999999982,10656.241600000001
IJC,20211012,29.7,3,12,9,1.2699999999999996,4944.499099999998
SCR,20211012,12.7,3,4,1,0.1899999999999995,2135.8178000000075
HBC,20211012,16.35,9,9,-1,0.5300000000000011,6832.839800000003
CEO,20211012,10.8,7,7,0,0.25,-710.3947000000001
FRT,20211012,47.55,6,7,1,1.1599999999999966,794.9196000000028
PET,20211012,29.2,12,16,4,1.5999999999999979,3810.1469999999936
CKG,20211012,26.0,7,13,-2,1.2199999999999989,342.22350000000023
PVC,20211012,12.9,18,25,7,1.1500000000000004,12458.417299999988
