symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20211111,36.5,0,0,0,-1.1700000000000017,2196.8138999999996
TCB,20211111,51.5,0,0,0,-0.7299999999999969,383.70000000000186
HPG,20211111,54.0,0,0,0,-2.5,4015.4119999999953
GVR,20211111,41.9,9,14,4,2.3900000000000006,490.9632000000012
ACB,20211111,33.0,2,3,-3,0.46000000000000085,6950.19910000002
MBB,20211111,28.1,-1,0,-2,-0.259999999999998,1175.9769999999992
BSR,20211111,24.8,0,7,-6,0.6999999999999993,366.29999999999916
STB,20211111,27.7,5,7,-6,0.8099999999999987,7796.219800000003
SHB,20211111,23.8,0,0,-5,-4.390000000000001,2669.775599999999
TPB,20211111,43.0,-2,0,-2,-0.6199999999999974,161.85350000000034
SSI,20211111,44.15,14,14,-3,2.6700000000000017,6759.173099999992
POW,20211111,12.9,3,6,-3,0.3000000000000007,143.8857999999991
HSG,20211111,43.5,0,0,0,-3.6599999999999966,7105.4493999999995
OIL,20211111,17.7,18,21,-5,1.5500000000000007,-167.30000000000092
DXG,20211111,26.3,20,25,-2,2.7699999999999996,2486.7113999999956
SBT,20211111,25.6,27,29,-2,3.1300000000000026,1709.0330000000051
HCM,20211111,43.85,22,22,-1,3.990000000000002,6759.162999999998
IDC,20211111,92.0,46,46,-7,17.799999999999997,1176.4316
DCM,20211111,37.2,19,22,-7,3.3800000000000026,1105.2922000000017
PVI,20211111,50.0,-1,0,-3,-0.45000000000000284,-70.49210000000107
DPM,20211111,52.8,21,22,-6,4.93,2627.441199999991
ITA,20211111,10.25,17,40,13,1.6999999999999993,10703.321600000001
IJC,20211111,36.5,17,21,4,3.280000000000001,5054.199099999998
SCR,20211111,17.4,19,38,5,2.7799999999999994,2225.017800000008
HBC,20211111,23.8,44,48,0,4.77,7122.939800000006
CEO,20211111,18.1,36,74,15,5.590000000000002,-448.7946999999997
FRT,20211111,54.5,14,14,-2,3.229999999999997,890.1696000000029
PET,20211111,31.8,3,6,-6,0.8599999999999994,3814.6969999999947
CKG,20211111,28.5,7,18,7,2.1000000000000014,315.7735000000002
PVC,20211111,13.9,9,16,-6,0.9500000000000011,12440.01729999999
