symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20211004,63.0,0,0,0,-2.299999999999997,2202.6638999999996
TCB,20211004,48.35,-1,0,0,-1.1400000000000006,400.70000000000186
HPG,20211004,55.5,17,27,10,3.780000000000001,4009.9119999999957
GVR,20211004,37.1,0,0,0,-0.39000000000000057,499.4132000000014
ACB,20211004,31.0,0,0,0,-0.7300000000000004,6960.14910000002
MBB,20211004,27.1,0,0,0,-0.8599999999999994,1185.226999999999
BSR,20211004,20.6,30,34,-1,1.740000000000002,299.39999999999907
STB,20211004,24.3,0,0,0,-2.25,7807.019800000003
SHB,20211004,28.2,-3,24,24,1.7100000000000009,2734.825599999999
TPB,20211004,42.0,23,23,-15,2.3599999999999994,178.50350000000026
SSI,20211004,38.6,0,0,0,-3.269999999999996,6730.623099999992
POW,20211004,12.65,3,24,11,0.7699999999999996,153.28579999999909
HSG,20211004,48.65,12,25,10,3.0700000000000003,7137.549399999999
OIL,20211004,15.1,25,36,11,1.3499999999999996,-190.20000000000107
DXG,20211004,19.0,0,0,0,-0.14000000000000057,2364.9113999999954
SBT,20211004,20.9,0,0,0,-0.610000000000003,1648.683000000005
HCM,20211004,48.3,0,0,0,-4.93,6704.562999999998
IDC,20211004,53.2,42,42,-8,5.5,-884.4683999999997
DCM,20211004,28.4,-7,48,-8,3.3599999999999994,929.6922000000013
PVI,20211004,46.7,12,14,2,1.5900000000000034,37.007899999999154
DPM,20211004,37.5,-9,23,-12,2.1599999999999966,2216.641199999992
ITA,20211004,7.27,0,0,0,-0.0600000000000005,10656.2716
IJC,20211004,27.75,0,0,0,-0.4400000000000013,4945.199099999998
SCR,20211004,12.0,-1,0,0,-0.15000000000000036,2133.6178000000073
HBC,20211004,16.1,8,15,6,0.6100000000000012,6830.739800000003
CEO,20211004,10.2,-1,0,0,-0.13000000000000078,-708.3947000000002
FRT,20211004,47.0,0,20,-11,2.3100000000000023,781.4696000000029
PET,20211004,27.35,0,0,0,0.030000000000001137,3800.7969999999937
CKG,20211004,23.7,0,0,0,-0.4499999999999993,337.02350000000024
PVC,20211004,12.5,42,49,4,1.5299999999999994,12448.617299999987
