symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20211101,37.55,0,0,0,-2.280000000000001,2202.6638999999996
TCB,20211101,51.6,-1,0,0,-0.19999999999999574,393.70000000000186
HPG,20211101,55.7,0,0,-8,-0.9899999999999949,4015.4119999999953
GVR,20211101,39.35,9,9,-4,1.0,504.06320000000136
ACB,20211101,32.7,-3,8,-3,0.7500000000000036,6952.14910000002
MBB,20211101,28.4,3,3,-2,0.23999999999999844,1181.076999999999
BSR,20211101,24.5,17,21,-6,1.5300000000000011,379.89999999999907
STB,20211101,26.6,4,5,-1,0.38000000000000256,7800.119800000003
SHB,20211101,28.5,0,3,3,0.2699999999999996,2706.4255999999987
TPB,20211101,43.4,-7,2,-11,0.28000000000000114,167.50350000000043
SSI,20211101,41.4,-1,8,6,0.9499999999999957,6728.273099999992
POW,20211101,13.1,-2,16,11,0.6099999999999994,149.48579999999907
HSG,20211101,46.0,0,0,0,-2.240000000000002,7105.4493999999995
OIL,20211101,17.0,7,34,21,1.7300000000000004,-182.10000000000105
DXG,20211101,23.75,27,27,-8,1.9200000000000017,2444.2613999999953
SBT,20211101,22.4,-1,14,5,0.9599999999999973,1645.8830000000048
HCM,20211101,39.5,0,0,-5,-0.9399999999999977,6704.562999999998
IDC,20211101,73.9,50,58,-5,12.840000000000003,-162.5683999999992
DCM,20211101,34.0,10,25,4,2.5100000000000016,1061.0922000000014
PVI,20211101,51.3,15,16,-10,2.4399999999999977,-29.492100000001074
DPM,20211101,49.8,38,45,1,6.609999999999999,2589.341199999991
ITA,20211101,9.0,18,39,13,1.0499999999999998,10679.751600000003
IJC,20211101,32.9,19,19,-7,1.8999999999999986,5010.0990999999985
SCR,20211101,14.7,22,28,-5,1.2399999999999984,2163.7178000000076
HBC,20211101,20.2,21,56,16,3.3599999999999994,6920.939800000005
CEO,20211101,12.1,13,25,-7,0.8899999999999988,-700.4947
FRT,20211101,54.9,24,40,14,6.509999999999998,899.1696000000029
PET,20211101,30.65,7,8,-5,0.7099999999999973,3816.3469999999943
CKG,20211101,28.0,2,26,19,2.16,342.1735000000002
PVC,20211101,12.7,-1,3,-8,0.11999999999999922,12444.817299999992
