symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20211029,38.05,0,0,0,-3.0600000000000023,2202.6638999999996
TCB,20211029,51.6,-2,0,-2,-0.03999999999999915,393.70000000000186
HPG,20211029,57.1,-6,2,-6,0.4200000000000017,4018.211999999995
GVR,20211029,39.8,11,13,-2,1.5599999999999952,509.9132000000013
ACB,20211029,33.0,0,11,10,1.129999999999999,6955.449100000019
MBB,20211029,28.5,0,5,0,0.3999999999999986,1181.576999999999
BSR,20211029,24.8,11,27,4,2.030000000000001,387.9999999999991
STB,20211029,26.6,-2,6,-2,0.5,7800.119800000003
SHB,20211029,27.95,0,0,-10,-0.2699999999999996,2706.4255999999987
TPB,20211029,44.85,0,13,3,1.8000000000000043,186.3535000000005
SSI,20211029,40.5,-2,2,-2,0.18999999999999773,6726.473099999992
POW,20211029,12.65,-2,5,-2,0.1899999999999995,147.23579999999907
HSG,20211029,47.4,0,0,0,-0.9699999999999989,7105.4493999999995
OIL,20211029,15.8,0,13,-4,0.6300000000000008,-197.70000000000098
DXG,20211029,24.15,24,35,0,2.5599999999999987,2458.2613999999953
SBT,20211029,22.0,-1,9,-2,0.629999999999999,1642.283000000005
HCM,20211029,38.2,0,0,0,-2.6799999999999997,6704.562999999998
IDC,20211029,74.1,48,63,-1,14.069999999999993,-149.96840000000066
DCM,20211029,33.3,10,21,-2,2.0899999999999963,1046.3922000000016
PVI,20211029,52.7,25,26,-6,4.07,6.907899999999017
DPM,20211029,49.0,38,44,0,6.43,2554.1411999999914
ITA,20211029,8.52,13,26,8,0.6599999999999993,10667.271600000004
IJC,20211029,33.4,23,26,-5,2.66,5023.099099999998
SCR,20211029,14.8,26,33,6,1.4700000000000006,2167.017800000008
HBC,20211029,18.9,17,40,19,2.2699999999999996,6868.939800000005
CEO,20211029,12.3,20,32,11,1.1800000000000015,-694.0947
FRT,20211029,52.1,5,26,2,4.100000000000001,826.369600000003
PET,20211029,31.0,1,13,-6,1.2300000000000004,3820.8969999999945
CKG,20211029,26.2,0,7,5,0.5799999999999983,329.5735000000002
PVC,20211029,13.0,0,11,0,0.4299999999999997,12448.11729999999
